,ProductName,Username,Reviews,Ratings
0,Avene Cicalfate+ Restorative Protective Cream 100ml - Multi-purpose Repair cream,Nanette B.,I love this cream...the best moisturizer that I have!,5 out of 5 stars.
1,Avene Cicalfate+ Restorative Protective Cream 100ml - Multi-purpose Repair cream,A Paige,Love it. So deeply nourishing and protective. I’m on a high strength Tretinoin from my derm and she recommended this one to use. So grateful she did.,5 out of 5 stars.
2,Avene Cicalfate+ Restorative Protective Cream 100ml - Multi-purpose Repair cream,Shannon,"I recently in the last few years have experienced bouts of irritation/pain/bumps around mouth and chin, later to find out what it is, perioral dermatitis. I am so grateful through a lot of research to find these products, the restorative cream and the spring water spray alone or in conjunction depending on how my skin feels. But now it remains clear and calm and radiant thanks to your wonderful gentle and healing miraculous natural products. Can’t thank you enough!!",5 out of 5 stars.
3,Avene Cicalfate+ Restorative Protective Cream 100ml - Multi-purpose Repair cream,Juan M.,I loveThe make my skin look better,5 out of 5 stars.
4,Avene Cicalfate+ Restorative Protective Cream 100ml - Multi-purpose Repair cream,Juan M.,I loveThe make my skin look better,5 out of 5 stars.
5,Avene Cicalfate+ Restorative Protective Cream 100ml - Multi-purpose Repair cream,Marisa E.,"I only recently discovered this balm, recommended to me by my dermatologist. Since then, it has replaced all other products I'd been using to speed up the healing of rashes, burns, cuts, and minor abrasions. Cicalfate is the best!! I also use it to prepare/repair my skin before and after chemical peels and the like. I'll be using it on top of Xeracalm this winter for added protection. Thanks Avene!",5 out of 5 stars.
6,Avene Cicalfate+ Restorative Protective Cream 100ml - Multi-purpose Repair cream,Tanvir C.,Been using this product for few years now and love it.,5 out of 5 stars.
7,Avene Cicalfate+ Restorative Protective Cream 100ml - Multi-purpose Repair cream,Dana W.,I sometimes get serious eczema flares around my armpits when I work out. Cicalfate does a great job of calming and healing them. I also find that it has helped the healing of a scar from a recent surgery. This little tube is full of magic.,5 out of 5 stars.
8,Avene Cicalfate+ Restorative Protective Cream 100ml - Multi-purpose Repair cream,Susan L.,Calming and moisturizing. I use it everyday! Perfect for minor scratches and burns! I have recommended this to so many friends!,5 out of 5 stars.
9,Avene Cicalfate+ Restorative Protective Cream 100ml - Multi-purpose Repair cream,BrookeM,My favourite for night cream in winter. It’s so thick going on but melts in beautifully after a moment. Also great to prime if you have dry skin.,5 out of 5 stars.
10,Avene Cicalfate+ Restorative Protective Cream 100ml - Multi-purpose Repair cream,SWaldorf,"This has a luxury feel to it, nice shine on face.",5 out of 5 stars.
11,Avene Cicalfate+ Restorative Protective Cream 100ml - Multi-purpose Repair cream,Carolina W.,"I understand why this product is considered a “holy grail” among dermatologists. The texture of my skin has smoothed since using and I see a visible improvement in my skin barrier. I have been using this product as I increase my Tretinoin use, and I haven’t had to deal with any of the usual irritation associated with Tretinoin because of how protective this cream is.",5 out of 5 stars.
12,Avene Cicalfate+ Restorative Protective Cream 100ml - Multi-purpose Repair cream,Linda Z.,Recommended by my dermatologist. Great to use during cold or hot weather when my skin gets dry and needs soothing. I also use it the day after I use retinal. Great product!,5 out of 5 stars.
13,Avene Cicalfate+ Restorative Protective Cream 100ml - Multi-purpose Repair cream,Tiffani B.,"It’s a life saver for me. I had a severe allergy reaction that compromised my skin barrier and my skin was hipersensitve to any Roger product I used before. I use the cicalfate restorative protective cream and it’s been amazing! After 2 months my skin is and feels 80% better. This is now my MUST have (for real) that’s why I would recomen this 100% . For reference I have sensitive dry skin that can be reactive (but not to avène products). The cicalfate is gentle, I do apply depending how my skin is in the morning and at night",5 out of 5 stars.
